"Method","Time (ms)","Own Time (ms)"
"mb.nabl2.terms.unification.u.PersistentUnifier$Immutable$Unify.unifyTerms(ITerm, ITerm) PersistentUnifier.java","6269","32"
"mb.nabl2.terms.build.ATermVar.matchOrThrow(ITerm$CheckedCases) ATermVar.java","5565","25"
"mb.nabl2.terms.Terms$3.caseVar(ITermVar) Terms.java","5476","0"
"mb.nabl2.terms.unification.u.PersistentUnifier$Immutable$Unify.lambda$5(ITerm, ITermVar) PersistentUnifier.java","5476","129"
"mb.nabl2.terms.unification.u.PersistentUnifier$Immutable$Unify$$Lambda$656.apply(Object)","5476","0"
"mb.nabl2.terms.matching.TermPattern$P.matchWithEqs(Iterable, Iterable, IUnifier$Immutable, VarProvider) TermPattern.java","5414","22"
"mb.statix.concurrent.StatixSolver$ConstraintDataWFInternal$$Lambda$998.apply()","5193","5"
"mb.statix.concurrent.StatixSolver$ConstraintDataWFInternal.lambda$0(ITerm, ITypeCheckerContext, ICancel) StatixSolver.java","5188","1264"
"mb.nabl2.terms.matching.Pattern.matchWithEqs(ITerm, IUnifier$Immutable, VarProvider) Pattern.java","4998","203"
"mb.statix.constraints.CCompiledQuery.match(IResolveQuery$Cases) CCompiledQuery.java","4489","3"
"mb.statix.concurrent.StatixSolver$1$1.caseCompiledQuery(CCompiledQuery) StatixSolver.java","4485","2"
"mb.statix.concurrent.StatixSolver$1$1.caseCompiledQuery(CCompiledQuery) StatixSolver.java","4482","2"
"mb.p_raffrayi.impl.TypeCheckerUnit.query(Object, StateMachine, DataWf, DataLeq, DataWf, DataLeq) TypeCheckerUnit.java","4310","32"
"mb.p_raffrayi.impl.TypeCheckerUnit.query(Object, IQuery, DataWf, DataLeq, DataWf, DataLeq) TypeCheckerUnit.java","4277","1"
"java.util.stream.ReferencePipeline.collect(Collector) ReferencePipeline.java","3943","1606"
"io.usethesource.capsule.core.PersistentTrieSet$AbstractTransientTrieSet.__insertEquivalentWithCapability(AtomicReference, Object, EqualityComparator) PersistentTrieSet.java","3843","211"
"io.usethesource.capsule.core.PersistentTrieSet$CompactSetNode.updated(AtomicReference, Object, int, int, SetNodeResult, EqualityComparator) PersistentTrieSet.java","3830","234"
"mb.nabl2.terms.unification.u.PersistentUnifier$Transient.putTerm(ITermVar, ITerm) PersistentUnifier.java","3691","66"
"io.usethesource.capsule.core.PersistentTrieSet$CompactSetNode.updated(AtomicReference, Object, int, int, SetNodeResult, EqualityComparator) PersistentTrieSet.java","3615","525"
"mb.statix.concurrent.StatixSolver.entail() StatixSolver.java","3556","0"
"mb.nabl2.terms.unification.ud.PersistentUniDisunifier$Immutable.unify(Iterable, Predicate1) PersistentUniDisunifier.java","3543","0"
"mb.nabl2.terms.unification.ud.IUniDisunifier$Immutable.disunify(Iterable, ITerm, ITerm) IUniDisunifier.java","3373","16"
"mb.p_raffrayi.impl.ScopeGraphLibraryWorker._query(IActorRef, ScopePath, IQuery, DataWf, DataLeq) ScopeGraphLibraryWorker.java","3359","0"
"mb.nabl2.terms.unification.ud.IUniDisunifier$Immutable.unify(Iterable) IUniDisunifier.java","3350","0"
"mb.nabl2.terms.unification.ud.PersistentUniDisunifier$Immutable.disunify(Iterable, ITerm, ITerm, Predicate1) PersistentUniDisunifier.java","3340","8"
