"Method","Time (ms)","Own Time (ms)"
"mb.nabl2.terms.build.ApplTerm.of(String, Iterable) ApplTerm.java","72","0"
"java.util.LinkedList.push(Object) LinkedList.java","72","72"
"io.usethesource.capsule.core.PersistentTrieMap$MapEntryIterator.next() PersistentTrieMap.java","71","5"
"org.metaborg.util.tuple.Tuple2.hashCode() Tuple2.java","71","36"
"mb.nabl2.terms.build.ANilTerm.match(ITerm$Cases) ANilTerm.java","71","0"
"mb.p_raffrayi.impl.Broker$UnitContext.lambda$0(Function2, IActor) Broker.java","71","0"
"mb.p_raffrayi.impl.Broker$UnitContext$$Lambda$457.apply(Object)","71","0"
"mb.p_raffrayi.impl.ScopeGraphLibraryUnit.lambda$6(IActor, IUnitContext) ScopeGraphLibraryUnit.java","71","0"
"mb.p_raffrayi.impl.ScopeGraphLibraryUnit$$Lambda$1138.apply(Object, Object)","71","0"
"mb.p_raffrayi.impl.ScopeGraphLibraryWorker.<init>(IActor, IActorRef, IUnitContext, Iterable, Set, IScopeGraph$Immutable) ScopeGraphLibraryWorker.java","71","0"
"mb.nabl2.terms.stratego.ATermIndex.find(ITerm) ATermIndex.java","71","0"
"com.google.common.collect.ImmutableList$Builder.add(Object) ImmutableList.java","70","60"
"org.metaborg.util.collection.MultiSet$Immutable.addAll(Iterable) MultiSet.java","70","0"
"org.metaborg.util.collection.MultiSet$Immutable.union(MultiSet$Immutable, MultiSet$Immutable) MultiSet.java","70","0"
"mb.nabl2.terms.unification.u.PersistentUnifier$Immutable$Unify.lambda$6(IApplTerm, IApplTerm) PersistentUnifier.java","70","0"
"mb.nabl2.terms.unification.u.PersistentUnifier$Immutable$Unify.unifys(Iterable, Iterable) PersistentUnifier.java","70","21"
"mb.nabl2.terms.matching.ConsPattern.getVars() ConsPattern.java","70","0"
"mb.nabl2.terms.matching.ConsPattern.getVars() ConsPattern.java","70","21"
"mb.statix.constraints.CTrue.apply(ISubstitution$Immutable) CTrue.java","70","70"
"mb.scopegraph.ecoop21.NameResolution.lambda$21(Env$Builder, ResolutionPath, Boolean) NameResolution.java","69","0"
"mb.scopegraph.ecoop21.NameResolution$$Lambda$1077.apply(Object)","69","0"
"mb.scopegraph.oopsla20.reference.Env$Builder.add(ResolutionPath) Env.java","69","0"
"com.google.common.collect.Sets$3.iterator() Sets.java","69","64"
"io.usethesource.capsule.core.PersistentTrieSet.transientOf() PersistentTrieSet.java","69","0"
"java.util.ArrayDeque.<init>() ArrayDeque.java","69","69"
"io.usethesource.capsule.core.trie.MapNodeResult.getReplacedValue() MapNodeResult.java","69","48"
"mb.statix.solver.store.BaseConstraintStore.lambda$1(Multimap, Map$Entry) BaseConstraintStore.java","68","0"
"mb.statix.solver.store.BaseConstraintStore$$Lambda$605.accept(Object)","68","0"
"mb.statix.constraints.Constraints$$Lambda$593.<init>(ImmutableList$Builder)","68","68"
"mb.statix.constraints.Constraints$$Lambda$593.get$Lambda(ImmutableList$Builder)","68","0"
"io.usethesource.capsule.core.PersistentTrieMap$TransientTrieMap$TransientMapEntryIterator.hasNext() PersistentTrieMap.java","68","0"
"mb.scopegraph.resolution.StateMachine.hashCode() StateMachine.java","68","0"
"com.google.common.collect.Iterators$9.next() Iterators.java","67","67"
"mb.scopegraph.ecoop21.RegExpLabelWf.accepting() RegExpLabelWf.java","67","62"
"org.metaborg.util.collection.MultiSet$Immutable.add(Object, int) MultiSet.java","67","0"
"org.metaborg.util.collection.MultiSet$Immutable.add(Object) MultiSet.java","67","0"
"mb.statix.constraints.CExists.visitFreeVars(Action1) CExists.java","67","0"
"mb.statix.concurrent.util.VarIndexedCollection.lambda$0(IUnifier, ITermVar) VarIndexedCollection.java","67","0"
"io.usethesource.capsule.core.PersistentTrieSet.__retainAll(Set) PersistentTrieSet.java","66","0"
"mb.statix.concurrent.AbstractTypeChecker.lambda$24(ITerm, SolverResult) AbstractTypeChecker.java","66","0"
"mb.statix.concurrent.AbstractTypeChecker$$Lambda$1169.apply(Object)","66","0"
"io.usethesource.capsule.core.trie.ArrayView.isEmpty() ArrayView.java","65","0"
"io.usethesource.capsule.core.PersistentTrieSet$AbstractTransientTrieSet$$Lambda$454.equals(Object, Object)","65","20"
"mb.statix.constraints.Constraints$CaseBuilder$1.caseEqual(CEqual) Constraints.java","64","32"
"io.usethesource.capsule.core.PersistentTrieSetMultimap$CompactMixedSetMultimapNode.rawMap2() PersistentTrieSetMultimap.java","64","64"
"mb.nabl2.terms.substitution.FreshVars.fix() FreshVars.java","64","0"
"io.usethesource.capsule.core.PersistentTrieMap$BitmapIndexedMapNode.hasPayload() PersistentTrieMap.java","64","62"
"mb.scopegraph.regexp.IRegExpMatcher.isEmpty() IRegExpMatcher.java","64","50"
"java.util.ArrayList.addAll(Collection) ArrayList.java","64","4"
"mb.p_raffrayi.impl.TypeCheckerUnit$$Lambda$923.apply(Object)","63","21"
"io.usethesource.capsule.core.PersistentTrieSet$CompactSetNode.nodeOf(AtomicReference, int, Object, int) PersistentTrieSet.java","63","26"
"com.google.common.collect.HashBiMap.put(Object, Object) HashBiMap.java","63","42"
"io.usethesource.capsule.core.PersistentTrieSet.__remove(Object) PersistentTrieSet.java","62","0"
"io.usethesource.capsule.core.PersistentTrieSet.__removeEquivalent(Object, EqualityComparator) PersistentTrieSet.java","62","0"
"mb.p_raffrayi.impl.ScopeGraphLibraryWorker.canAnswer(Object) ScopeGraphLibraryWorker.java","62","29"
"mb.scopegraph.oopsla20.reference.ScopeGraph$Immutable.setDatum(Object, Object) ScopeGraph.java","62","0"
"mb.scopegraph.oopsla20.reference.ScopeGraph$Immutable.setDatum(Object, Object) ScopeGraph.java","62","13"
"mb.statix.constraints.CTry.matchOrThrow(IConstraint$CheckedCases) CTry.java","61","13"
"io.usethesource.capsule.core.PersistentTrieMap$MapKeyIterator.<init>(PersistentTrieMap$AbstractMapNode) PersistentTrieMap.java","61","0"
"mb.nabl2.terms.unification.ud.BaseUniDisunifier$Transient.findRecursive(ITerm) BaseUniDisunifier.java","60","0"
"mb.scopegraph.oopsla20.reference.ScopeGraph$Immutable.addEdge(Object, Object, Object) ScopeGraph.java","60","5"
"mb.nabl2.terms.substitution.PersistentSubstitution$Immutable.of(ITermVar, ITerm) PersistentSubstitution.java","60","0"
"io.usethesource.capsule.core.PersistentTrieSet$CompactSetNode.mask(int, int) PersistentTrieSet.java","60","60"
"org.metaborg.util.collection.ConsList$1.hasNext() ConsList.java","60","60"
"mb.statix.constraints.CUser.<init>(String, Iterable, IConstraint, IMessage, ICompleteness$Immutable) CUser.java","60","49"
"com.google.common.collect.Iterators$9.hasNext() Iterators.java","60","60"
"mb.statix.spec.Rule$Builder.from(ARule) Rule.java","60","0"
"mb.p_raffrayi.impl.AbstractUnit$1.compose(ExtQuerySet, ExtQuerySet) AbstractUnit.java","60","0"
"mb.p_raffrayi.impl.AbstractUnit$1.compose(Object, Object) AbstractUnit.java","60","0"
"mb.p_raffrayi.nameresolution.tracing.AExtQuerySet.addQueries(ExtQuerySet) AExtQuerySet.java","60","0"
"mb.p_raffrayi.nameresolution.tracing.AExtQuerySet.addQueries(Collection, Collection) AExtQuerySet.java","60","0"
"mb.statix.constraints.CEqual.withCause(IConstraint) CEqual.java","59","0"
"mb.statix.constraints.CUser.withCause(IConstraint) CUser.java","59","54"
"io.usethesource.capsule.core.PersistentTrieMap$BitmapIndexedMapNode.nodeArity() PersistentTrieMap.java","59","59"
"org.metaborg.util.collection.MultiSetMap$Immutable.removeAll(Set) MultiSetMap.java","59","0"
"com.google.common.collect.ImmutableMap.hashCode() ImmutableMap.java","59","59"
"io.usethesource.capsule.core.PersistentTrieSet.toArray() PersistentTrieSet.java","59","24"
"mb.nabl2.terms.build.Attachments.isEmpty() Attachments.java","58","19"
"mb.statix.spec.PreSolvedConstraint$$Lambda$846.apply(Object)","58","0"
"io.usethesource.capsule.core.trie.MapNodeResult.updated(Object) MapNodeResult.java","58","58"
"mb.statix.constraints.CTry.apply(ISubstitution$Immutable) CTry.java","58","0"
"mb.statix.constraints.CTry.apply(ISubstitution$Immutable) CTry.java","58","0"
"mb.p_raffrayi.impl.tokens.CloseScope.<init>(IActorRef, Object) CloseScope.java","58","11"
"mb.p_raffrayi.impl.tokens.CloseScope.of(IActorRef, Object) CloseScope.java","58","0"
"mb.nabl2.terms.matching.TermMatch$M.string(Function1) TermMatch.java","58","0"
"mb.nabl2.terms.build.Appl2Term$Builder.build() Appl2Term.java","58","15"
"mb.p_raffrayi.impl.AbstractUnit.query(Object, Object, int) AbstractUnit.java","57","25"
"io.usethesource.capsule.core.PersistentTrieMap$BitmapIndexedMapNode.<init>(AtomicReference, int, int, Object[], PersistentTrieMap$1) PersistentTrieMap.java","57","57"
"mb.nabl2.terms.matching.PatternAs.asTerm(Action2, Function1) PatternAs.java","57","0"
"org.metaborg.util.log.Slf4jLoggerProvider.getLogger(Logger) Slf4jLoggerProvider.java","57","36"
"mb.p_raffrayi.impl.Broker.run(String, PRaffrayiSettings, ITypeChecker, IScopeImpl, Iterable, boolean, IUnitResult, ICancel, IProgress, int) Broker.java","57","0"
"java.util.WeakHashMap.put(Object, Object) WeakHashMap.java","57","57"
"mb.nabl2.terms.unification.u.PersistentUnifier$Transient.removeRep(ITermVar) PersistentUnifier.java","57","0"
"io.usethesource.capsule.core.PersistentTrieSet$CompactMixedSetNode.nodeMap() PersistentTrieSet.java","56","42"
"mb.nabl2.terms.build.Appl2Term.of(String, ITerm, ITerm) Appl2Term.java","56","6"
"io.usethesource.capsule.core.PersistentTrieMap$BitmapIndexedMapNode.getKeyValueEntry(int) PersistentTrieMap.java","56","31"
"io.usethesource.capsule.core.PersistentTrieMap$MapEntryIterator.next() PersistentTrieMap.java","56","0"
"mb.statix.solver.Delay.<init>(Iterable, Iterable) Delay.java","56","18"
"mb.nabl2.terms.build.AAppl3Term.hashCode() AAppl3Term.java","56","7"
"mb.nabl2.terms.unification.u.PersistentUnifier$Transient.removeDomainVar(ITermVar) PersistentUnifier.java","55","0"
"mb.scopegraph.oopsla20.reference.ScopeGraph$Immutable.addEdge(Object, Object, Object) ScopeGraph.java","55","0"
"mb.nabl2.terms.stratego.ATermIndex$$Lambda$1120.get()","55","55"
"mb.statix.concurrent.SolverState$Builder.addAllUpdatedVars(Iterable) SolverState.java","54","0"
"mb.statix.concurrent.SolverState$Builder.updatedVars(Iterable) SolverState.java","54","0"
"io.usethesource.capsule.core.PersistentTrieMap.entrySet() PersistentTrieMap.java","54","16"
"org.metaborg.util.collection.MultiSetMap$Transient.of() MultiSetMap.java","54","10"
"mb.statix.solver.persistent.State$Builder.from(AState) State.java","53","39"
"org.metaborg.util.future.AggregateFuture$$Lambda$626.<init>(AggregateFuture, int)","53","0"
"org.metaborg.util.future.AggregateFuture$$Lambda$626.get$Lambda(AggregateFuture, int)","53","0"
"com.google.common.collect.Iterables.concat(Iterable, Iterable) Iterables.java","52","52"
"mb.statix.constraints.CTellEdge.unsafeApply(ISubstitution$Immutable) CTellEdge.java","52","0"
"mb.statix.constraints.Constraints.trivial(IConstraint) Constraints.java","52","15"
"mb.nabl2.terms.matching.TermMatch$M$$Lambda$21.match(ITerm, IUnifier)","52","7"
"mb.statix.solver.persistent.Solver.preEntail(IState$Immutable, ICompleteness$Immutable, IConstraint) Solver.java","52","0"
"io.usethesource.capsule.core.PersistentTrieMap$TransientTrieMap$3$1.hasNext() PersistentTrieMap.java","52","10"
"mb.statix.constraints.CExists.lambda$2(Action1, ITermVar) CExists.java","51","0"
"mb.statix.constraints.CExists$$Lambda$604.apply(Object)","51","0"
"io.usethesource.capsule.core.PersistentTrieSet$AbstractTransientTrieSet.__retainAll(Set) PersistentTrieSet.java","51","18"
"com.google.common.collect.Lists.newLinkedList(Iterable) Lists.java","51","51"
"org.metaborg.util.collection.MultiSetMap$Transient.<init>(Map$Transient, MultiSetMap$Transient) MultiSetMap.java","51","11"
"org.metaborg.util.collection.MultiSet$Transient.freeze() MultiSet.java","51","18"
"io.usethesource.capsule.core.PersistentTrieMap$TransientTrieMap$TransientMapKeyIterator.hasNext() PersistentTrieMap.java","51","0"
"mb.scopegraph.ecoop21.NameResolution$$Lambda$983.<init>(Env$Builder, Ref)","50","50"
"mb.scopegraph.ecoop21.NameResolution$$Lambda$983.get$Lambda(Env$Builder, Ref)","50","0"
"mb.nabl2.terms.matching.TermMatch$M$$Lambda$86.apply(Object)","50","50"
"io.usethesource.capsule.core.PersistentTrieSet$CompactSetNode.nodeOf(AtomicReference, int, Object, int, Object, int) PersistentTrieSet.java","50","37"
"mb.nabl2.terms.substitution.PersistentSubstitution.domainSet() PersistentSubstitution.java","50","2"
"io.usethesource.capsule.core.PersistentTrieMap.__putEquivalent(Object, Object, EqualityComparator) PersistentTrieMap.java","50","45"
"mb.p_raffrayi.impl.AbstractUnit.handleDeadlock(Set) AbstractUnit.java","50","0"
"java.util.concurrent.ConcurrentLinkedDeque.add(Object) ConcurrentLinkedDeque.java","50","50"
"mb.p_raffrayi.nameresolution.tracing.ExtQuerySet$Builder.addAllPredicateQueries(Iterable) ExtQuerySet.java","50","6"
"mb.p_raffrayi.impl.AbstractUnit$1.dataEquiv(Object, Object, ICancel) AbstractUnit.java","50","0"
"mb.p_raffrayi.nameresolution.NameResolutionQuery$1.dataLeq(Object, Object, ICancel) NameResolutionQuery.java","50","0"
"mb.scopegraph.ecoop21.NameResolution.lambda$19(Ref, ResolutionPath, ICancel, ResolutionPath) NameResolution.java","50","0"
"mb.scopegraph.ecoop21.NameResolution$$Lambda$1075.apply(Object)","50","0"
"org.metaborg.util.future.Futures.noneMatch(Iterator, CheckedFunction1) Futures.java","50","0"
"org.metaborg.util.future.Futures.noneMatch(Iterable, CheckedFunction1) Futures.java","50","0"
"mb.p_raffrayi.impl.AbstractUnit.countWaitingFor(IWaitFor, IActorRef) AbstractUnit.java","49","39"
"io.usethesource.capsule.core.PersistentTrieSetMultimap$CompactMixedSetMultimapNode.dataMap() PersistentTrieSetMultimap.java","49","0"
"mb.nabl2.terms.build.Appl2Term.<init>(String, ITerm, ITerm) Appl2Term.java","49","49"
"com.google.common.collect.Maps.newHashMap() Maps.java","49","19"
"mb.statix.solver.StateUtil.buildEqualities(IUnifier, Action1) StateUtil.java","48","12"
"mb.p_raffrayi.nameresolution.tracing.ExtQuerySet$Builder.from(AExtQuerySet) ExtQuerySet.java","48","0"
"java.util.Collections.singletonList(Object) Collections.java","48","48"
"mb.statix.concurrent.StatixLibrary.lambda$1(Map, Scope) StatixLibrary.java","48","0"
"mb.statix.concurrent.StatixLibrary$$Lambda$563.apply(Object)","48","0"
"mb.statix.solver.IConstraint.ownCriticalEdges() IConstraint.java","48","48"
"mb.nabl2.terms.build.AAppl0Term.match(ITerm$Cases) AAppl0Term.java","48","0"
"mb.statix.concurrent.StatixSolver$$Lambda$1157.apply(Object)","48","16"
"java.lang.StringBuilder.append(int) StringBuilder.java","48","48"
"mb.statix.spec.Rule.<init>(Rule$Builder, Rule) Rule.java","47","0"
"mb.statix.spec.Rule.<init>(Rule$Builder) Rule.java","47","47"
"mb.statix.concurrent.StatixSolver$1.caseTry(CTry) StatixSolver.java","47","0"
"mb.statix.concurrent.StatixSolver$1.caseTry(CTry) StatixSolver.java","47","0"
"io.usethesource.capsule.core.PersistentTrieMap$BitmapIndexedMapNode.sizePredicate() PersistentTrieMap.java","47","47"
"mb.nabl2.terms.unification.u.BaseUnifier$$Lambda$673.test(Object)","47","23"
"mb.nabl2.terms.build.AbstractTerm.<init>() AbstractTerm.java","47","47"
"mb.nabl2.terms.build.AStringTerm.<init>() AStringTerm.java","47","0"
"com.google.common.collect.SingletonImmutableList.size() SingletonImmutableList.java","47","47"
"com.google.common.collect.CollectCollectors$$Lambda$237.apply(Object)","47","47"
"org.metaborg.util.future.AggregateFuture$$Lambda$627.get$Lambda(AggregateFuture, int)","47","10"
"java.util.Collections.unmodifiableMap(Map) Collections.java","47","47"
"mb.nabl2.terms.substitution.Renaming.asMap() Renaming.java","47","0"
"java.util.concurrent.atomic.AtomicBoolean.<init>(boolean) AtomicBoolean.java","46","46"
"io.usethesource.capsule.core.PersistentTrieMap$TransientTrieMap.keySet() PersistentTrieMap.java","46","0"
"io.usethesource.capsule.core.PersistentTrieMap$TransientTrieMap$1.<init>(PersistentTrieMap$TransientTrieMap) PersistentTrieMap.java","46","43"
"io.usethesource.capsule.util.collection.AbstractSpecialisedImmutableSet.iterator() AbstractSpecialisedImmutableSet.java","46","46"
"mb.statix.spec.Rule.<init>(String, Iterable, IConstraint) Rule.java","46","46"
"mb.statix.spec.Rule.of(String, List, IConstraint) Rule.java","46","0"
"mb.statix.spec.Rule.of(String, Iterable, IConstraint) Rule.java","46","0"
"mb.statix.spec.RuleUtil$$Lambda$875.apply(Object)","46","0"
"mb.nabl2.terms.unification.u.PersistentUnifier$Transient.termEntries() PersistentUnifier.java","46","40"
"mb.statix.constraints.Constraints$$Lambda$862.accept(Object)","46","37"
"io.usethesource.capsule.core.PersistentTrieSet$TransientTrieSet.__removeEquivalent(Object, EqualityComparator) PersistentTrieSet.java","46","0"
"mb.nabl2.terms.substitution.FreshVars.lambda$0(ITermVar, Set) FreshVars.java","45","25"
"mb.scopegraph.oopsla20.reference.Env.of(ResolutionPath) Env.java","45","0"
"mb.nabl2.terms.matching.ApplPattern.<init>(String, Iterable, IAttachments) ApplPattern.java","45","45"
"com.sun.proxy.$Proxy2._deadlockReply(IProcess, int, Set)","45","0"
"mb.p_raffrayi.impl.AbstractUnit.reply(IProcess, IProcess, int, Set) AbstractUnit.java","45","0"
"mb.p_raffrayi.impl.AbstractUnit.reply(Object, Object, int, Set) AbstractUnit.java","45","0"
"mb.statix.constraints.CExists.<init>(Iterable, IConstraint, IConstraint, ICompleteness$Immutable) CExists.java","45","0"
"mb.statix.constraints.CExists.<init>(Iterable, IConstraint, IConstraint, ICompleteness$Immutable, Set$Immutable) CExists.java","45","0"
"mb.statix.constraints.CTellEdge.match(IConstraint$Cases) CTellEdge.java","45","30"
"mb.p_raffrayi.impl.StateCapture$Builder.build() StateCapture.java","45","0"
"java.util.Collections$1.hasNext() Collections.java","45","45"
"mb.nabl2.terms.matching.TermMatch$M.lambda$131(Function1, ITerm, IUnifier) TermMatch.java","44","2"
"io.usethesource.capsule.util.collection.AbstractSpecialisedImmutableMap.entryOf(Object, Object) AbstractSpecialisedImmutableMap.java","44","44"
"mb.scopegraph.ecoop21.NameResolution.lambda$2(ScopePath, LabelWf, Set$Immutable, IFuture, Tuple2, Throwable) NameResolution.java","44","39"
"mb.p_raffrayi.impl.tokens.InitScope.computeHashCode() InitScope.java","44","44"
"mb.statix.spec.Rule$Builder.params(Iterable) Rule.java","44","0"
"mb.p_raffrayi.impl.AbstractUnit.failDelays(Collection) AbstractUnit.java","44","0"
"mb.statix.constraints.CNew.unsafeApply(ISubstitution$Immutable) CNew.java","44","7"
"mb.statix.constraints.CNew.unsafeApply(ISubstitution$Immutable) CNew.java","44","0"
"mb.statix.constraints.messages.Message$$Lambda$827.apply(Object)","44","10"
"mb.nabl2.terms.matching.Pattern$2.add(ITermVar, Pattern) Pattern.java","43","0"
"io.usethesource.capsule.core.trie.SetNodeResultImpl.<init>() SetNodeResultImpl.java","43","43"
"mb.nabl2.terms.unification.u.PersistentUnifier$Immutable$Unify$$Lambda$800.apply(Object)","43","14"
"mb.statix.constraints.CEqual.withCause(IConstraint) CEqual.java","43","34"
"mb.nabl2.terms.build.AConsTerm$$Lambda$756.apply(Object)","43","19"
"mb.statix.solver.StateUtil.asEqualities(IUnifier) StateUtil.java","42","0"
"mb.statix.solver.persistent.State.<init>(State$Builder) State.java","42","27"
"mb.statix.solver.persistent.State.<init>(State$Builder, State) State.java","42","0"
"mb.statix.solver.persistent.State$Builder.build() State.java","42","0"
"mb.statix.spec.Rule.computeHashCode() Rule.java","42","0"
"mb.p_raffrayi.impl.TypeCheckerUnit.lambda$17(IQueryAnswer) TypeCheckerUnit.java","42","0"
"mb.p_raffrayi.impl.UnitProcess.hashCode() UnitProcess.java","42","32"
"org.metaborg.util.collection.MultiSetMap$Transient.<init>(Map$Transient) MultiSetMap.java","42","40"
"mb.statix.spec.PreSolvedConstraint.<init>(Iterable, IUniDisunifier$Immutable, List, IConstraint, ICompleteness$Immutable, Set$Immutable) PreSolvedConstraint.java","42","39"
"mb.statix.concurrent.StatixSolver$ConstraintDataEquiv.leq(ITerm, ITerm, ITypeCheckerContext, ICancel) StatixSolver.java","42","0"
"mb.statix.concurrent.StatixSolver$ConstraintDataEquiv.leq(Object, Object, ITypeCheckerContext, ICancel) StatixSolver.java","42","0"
"mb.statix.constraints.CNew.apply(ISubstitution$Immutable) CNew.java","42","4"
"mb.p_raffrayi.impl.tokens.AInitScope.<init>() AInitScope.java","42","36"
"org.metaborg.util.tuple.Tuple2.of(Object, Object) Tuple2.java","42","32"
"mb.p_raffrayi.actors.impl.Actor.hashCode() Actor.java","41","41"
"mb.nabl2.terms.matching.ApplPattern.lambda$1(Pattern$Eqs, ITermVar) ApplPattern.java","41","0"
"mb.nabl2.terms.matching.ApplPattern$$Lambda$506.apply(Object)","41","0"
"mb.scopegraph.regexp.RegExpMatcher.hashCode() RegExpMatcher.java","41","0"
"mb.scopegraph.regexp.RegExpMatcher$State.hashCode() RegExpMatcher.java","41","9"
"java.util.ArrayList$Itr.hasNext() ArrayList.java","41","41"
"mb.statix.concurrent.StatixSolver.fail(IConstraint) StatixSolver.java","40","0"
"mb.nabl2.terms.build.ConsTerm.builder() ConsTerm.java","40","0"
"org.metaborg.util.collection.MultiSetMap$Immutable$$Lambda$781.get$Lambda(Set)","40","40"
"mb.p_raffrayi.impl.Broker.lambda$1(IActor) Broker.java","40","3"
"mb.p_raffrayi.impl.Broker$$Lambda$442.apply(Object)","40","0"
"mb.nabl2.terms.build.Appl1Term.getArg0() Appl1Term.java","40","40"
"mb.nabl2.terms.ListTerms$3.caseNil(INilTerm) ListTerms.java","40","0"
"mb.nabl2.terms.unification.u.PersistentUnifier$Immutable$Unify$$Lambda$815.apply(Object)","40","2"
"io.usethesource.capsule.util.stream.CapsuleCollectors$$Lambda$334.apply(Object)","40","19"
"io.usethesource.capsule.core.PersistentTrieSetMultimap$AbstractSetMultimapNode$1.size() PersistentTrieSetMultimap.java","40","7"
"org.metaborg.util.iterators.ArrayIterable.iterator() ArrayIterable.java","40","40"
"org.metaborg.util.collection.MultiSetMap$Transient.put(Object, Object) MultiSetMap.java","39","0"
"org.metaborg.util.collection.MultiSetMap$Transient.put(Object, Object, int) MultiSetMap.java","39","0"
"mb.statix.solver.store.BaseConstraintStore.lambda$4(ImmutableMap$Builder, Multimap, Multimap, IConstraint) BaseConstraintStore.java","39","3"
"mb.statix.solver.store.BaseConstraintStore$$Lambda$615.accept(Object)","39","0"
"java.lang.invoke.LambdaForm$MH.343965883.linkToTargetMethod(Object, Object, Object, Object, Object, Object, Object) LambdaForm$MH","39","14"
"io.usethesource.capsule.core.PersistentTrieMap$BitmapIndexedMapNode.getNode(int) PersistentTrieMap.java","39","0"
"com.google.common.collect.ImmutableList.builderWithExpectedSize(int) ImmutableList.java","39","30"
"mb.statix.concurrent.SolverState$Builder.addAllConstraints(Iterable) SolverState.java","39","0"
"mb.p_raffrayi.impl.tokens.CloseLabel.equalTo(CloseLabel) CloseLabel.java","39","19"
"io.usethesource.capsule.core.PersistentTrieSet$BitmapIndexedSetNode.<init>(AtomicReference, int, int, Object[], PersistentTrieSet$1) PersistentTrieSet.java","39","0"
"io.usethesource.capsule.core.PersistentTrieSet$BitmapIndexedSetNode.<init>(AtomicReference, int, int, Object[]) PersistentTrieSet.java","39","26"
"java.lang.String.replace(char, char) String.java","39","39"
"mb.statix.spec.ApplyStrict$$Lambda$509.apply(Object)","39","4"
"mb.p_raffrayi.impl.AbstractUnit.assertLabelOpen(Object, EdgeOrData) AbstractUnit.java","39","6"
"mb.statix.constraints.CTrue.match(IConstraint$Cases) CTrue.java","38","6"
"mb.nabl2.terms.ListTerms$CheckedCaseBuilder$1.caseNil(INilTerm) ListTerms.java","38","2"
"io.usethesource.capsule.core.PersistentTrieMap$3.<init>(PersistentTrieMap) PersistentTrieMap.java","38","6"
"mb.nabl2.terms.build.AStringTerm.hashCode() AStringTerm.java","38","38"
"mb.nabl2.terms.unification.u.PersistentUnifier$Immutable$Unify.lambda$24(IListTerm, INilTerm) PersistentUnifier.java","37","5"
"java.util.AbstractCollection.addAll(Collection) AbstractCollection.java","37","37"
"mb.nabl2.terms.unification.ud.PersistentUniDisunifier$Immutable.lambda$8(IUnifier$Immutable, ITermVar) PersistentUniDisunifier.java","37","0"
"mb.nabl2.terms.unification.ud.PersistentUniDisunifier$Immutable$$Lambda$791.apply(Object)","37","0"
"io.usethesource.capsule.core.PersistentTrieSetMultimap$AbstractSetMultimapNode$2.size() PersistentTrieSetMultimap.java","37","37"
"java.util.ArrayList.iterator() ArrayList.java","37","34"
"io.usethesource.capsule.core.PersistentTrieSet$AbstractTransientTrieSet.iterator() PersistentTrieSet.java","37","0"
"io.usethesource.capsule.core.PersistentTrieSet$AbstractTransientTrieSet.keyIterator() PersistentTrieSet.java","37","0"
"io.usethesource.capsule.core.PersistentTrieSet$AbstractTransientTrieSet$TransientSetKeyIterator.<init>(PersistentTrieSet$AbstractTransientTrieSet) PersistentTrieSet.java","37","0"
"org.metaborg.util.collection.ConsList.iterator() ConsList.java","37","29"
"java.lang.invoke.MethodHandle.invokeBasic(Object[]) MethodHandle.java (native)","37","37"
"mb.nabl2.terms.matching.TermMatch$M.lambda$140(Function1, ITerm, IUnifier) TermMatch.java","37","0"
"mb.nabl2.terms.matching.TermMatch$M$$Lambda$40.match(ITerm, IUnifier)","37","0"
"mb.statix.constraints.CNew.apply(ISubstitution$Immutable) CNew.java","37","0"
"mb.statix.solver.completeness.Completeness$Transient.lambda$5(MultiSetMap$Transient, MultiSet$Immutable, ITerm) Completeness.java","37","23"
"mb.statix.solver.completeness.Completeness$Transient$$Lambda$565.accept(Object)","37","0"
"mb.p_raffrayi.impl.tokens.AQuery.hashCode() AQuery.java","37","0"
"mb.p_raffrayi.impl.tokens.AQuery.of(IActorRef, IScopePath, IQuery, DataWf, DataLeq, IFuture) AQuery.java","37","0"
"mb.p_raffrayi.impl.tokens.Query.<init>(IActorRef, IScopePath, DataWf, IFuture) Query.java","37","0"
"mb.p_raffrayi.impl.tokens.Query.of(IActorRef, IScopePath, DataWf, IFuture) Query.java","37","0"
"mb.p_raffrayi.impl.TypeCheckerUnit$$Lambda$917.apply(Object, Object)","37","29"
"mb.statix.constraints.messages.MessageUtil.findClosestMessage(IConstraint) MessageUtil.java","36","0"
"mb.statix.constraints.messages.MessageUtil.findClosestMessage(IConstraint, MessageKind) MessageUtil.java","36","27"
"org.metaborg.util.future.AggregateFuture$$Lambda$627.<init>(AggregateFuture, int)","36","36"
"mb.nabl2.terms.unification.u.PersistentUnifier$Immutable$Unify.lambda$28(IListTerm) PersistentUnifier.java","36","36"
"mb.nabl2.terms.unification.u.PersistentUnifier$Immutable$Unify$$Lambda$822.apply(Object)","36","0"
"io.usethesource.capsule.core.PersistentTrieMap.__put(Object, Object) PersistentTrieMap.java","36","0"
"io.usethesource.capsule.core.PersistentTrieMap$TransientTrieMap$$Lambda$367.equals(Object, Object)","36","2"
"io.usethesource.capsule.core.PersistentTrieMap$BitmapIndexedMapNode.payloadArity() PersistentTrieMap.java","36","5"
"mb.statix.constraints.CAstProperty.apply(ISubstitution$Immutable) CAstProperty.java","36","7"
"mb.statix.constraints.CEqual$$Lambda$747.accept(Object)","36","15"
"org.metaborg.util.future.AggregateFuture$$Lambda$472.apply(Object)","35","0"
"org.metaborg.util.future.AggregateFuture$SC.of(Object) AggregateFuture.java","35","35"
