"Method","Time (ms)","Own Time (ms)"
"mb.statix.concurrent.StatixSolver$$Lambda$1031.apply(Object, Object)","26548","0"
"org.metaborg.util.future.CompletedExceptionallyFuture.compose(CheckedFunction2) CompletedExceptionallyFuture.java","26316","14"
"mb.statix.concurrent.StatixSolver.lambda$5(IConstraint, StatixSolver$K, Object, Throwable) StatixSolver.java","23836","24"
"mb.statix.concurrent.StatixSolver$$Lambda$933.apply(Object, Object)","23836","0"
"mb.statix.concurrent.StatixSolver.solveK(StatixSolver$K, Object, Throwable) StatixSolver.java","23794","0"
"org.metaborg.util.future.CompletableFuture$5.handle(Object, Throwable) CompletableFuture.java","23289","10"
"mb.statix.spec.RuleUtil.applyOrderedOne(IUniDisunifier$Immutable, List, List, IConstraint, ApplyMode, ApplyMode$Safety) RuleUtil.java","21094","10"
"mb.statix.spec.RuleUtil.applyOrdered(IUniDisunifier$Immutable, List, List, IConstraint, ApplyMode, ApplyMode$Safety, boolean) RuleUtil.java","21076","323"
"mb.statix.concurrent.StatixSolver$1.caseConj(CConj) StatixSolver.java","20146","0"
"mb.statix.concurrent.StatixSolver$1.caseConj(CConj) StatixSolver.java","20146","0"
"mb.statix.constraints.CConj.matchOrThrow(IConstraint$CheckedCases) CConj.java","20146","0"
"org.metaborg.util.future.CompletableFuture$1.handle(Object, Throwable) CompletableFuture.java","19772","31"
"org.metaborg.util.future.CompletableFuture$1$$Lambda$1128.apply(Object, Object)","19504","6"
"mb.p_raffrayi.impl.TypeCheckerUnit.query(Object, LabelWf, LabelOrder, DataWf, DataLeq, DataWf, DataLeq) TypeCheckerUnit.java","19388","0"
"mb.p_raffrayi.impl.TypeCheckerUnit.query(Object, IQuery, DataWf, DataLeq, DataWf, DataLeq) TypeCheckerUnit.java","19388","0"
"mb.statix.spec.ApplyStrict.apply(IUniDisunifier$Immutable, Rule, List, IConstraint, ApplyMode$Safety) ApplyStrict.java","18467","207"
"mb.statix.spec.ApplyRelaxed.apply(IUniDisunifier$Immutable, Rule, List, IConstraint, ApplyMode$Safety) ApplyRelaxed.java","17174","191"
"mb.p_raffrayi.impl.ScopeGraphLibraryWorker._query(IActorRef, ScopePath, IQuery, DataWf, DataLeq) ScopeGraphLibraryWorker.java","16393","0"
"mb.nabl2.terms.matching.MaybeNotInstantiated$NotInstantiated.orElseThrow(Function1) MaybeNotInstantiated.java","15592","15557"
"mb.scopegraph.ecoop21.RelationLabelOrder.lt(EdgeOrData, EdgeOrData) RelationLabelOrder.java","14709","0"
"mb.scopegraph.relations.impl.Relation.contains(Object, Object) Relation.java","14709","6"
"mb.scopegraph.relations.impl.Relation.contains(Object, Object, Set) Relation.java","14466","280"
"java.util.stream.ReferencePipeline.anyMatch(Predicate) ReferencePipeline.java","12343","3495"
"mb.statix.constraints.CEqual.matchOrThrow(IConstraint$CheckedCases) CEqual.java","10805","31"
"mb.statix.concurrent.StatixSolver$1.caseEqual(CEqual) StatixSolver.java","10773","2"
"mb.statix.concurrent.StatixSolver$1.caseEqual(CEqual) StatixSolver.java","10771","51"
"mb.nabl2.terms.unification.u.PersistentUnifier$Immutable$Unify.apply() PersistentUnifier.java","10438","96"
"mb.scopegraph.relations.impl.Relation$$Lambda$255.test(Object)","10203","116"
"mb.scopegraph.relations.impl.Relation.lambda$0(Object, Set, Object) Relation.java","10169","122"
"mb.scopegraph.ecoop21.NameResolution.max(Set$Immutable) NameResolution.java","10056","194"
"mb.nabl2.terms.unification.u.PersistentUnifier$Immutable.unify(ITerm, ITerm, Predicate1) PersistentUnifier.java","7457","4"
"mb.nabl2.terms.unification.ud.PersistentUniDisunifier$Immutable.unify(ITerm, ITerm, Predicate1) PersistentUniDisunifier.java","7169","0"
"mb.nabl2.terms.unification.u.PersistentUnifier$Immutable$Unify.unifyTerms(ITerm, ITerm) PersistentUnifier.java","6860","41"
